数据导出
唯一标识,商品编码,商户编码,图片链接,审核状态,异常标识
TMT000000007972004	,000000011275536700		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/23TfZLqrcZdNG_QSfE-JPQ.png	,1	,1	
TMT000000007972010	,000000011275537397		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/tRU5y54Rnj25YBBkPDhlgQ.png	,1	,1	
TMT000000007972008	,000000011275537239		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/sEynWE1fvhru5aHN5-9W-A.png	,1	,1	
TMT000000007972006	,000000011275537039		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/O70g7qwvew6Wk9CGk3KhDw.png	,1	,1	
TMT000000007972013	,000000011275537612		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/RXR-_dC83BBtjUCi6JqRrA.png	,1	,1	
TMT000000007972002	,000000011275536225		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/rqBBPBz9iSn5vpFHqGBQcA.png	,1	,1	
TMT000000007971988	,000000011275532399		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/0RhsOKPM94HujNDVP2BecA.png	,1	,1	
TMT000000007971997	,000000011275533669		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/LAxkz8y1voXdrDLxVNuxAA.png	,1	,1	
TMT000000007971991	,000000011275533123		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Ho1w2IbfYIVlhL_MoC34Qg.png	,1	,1	
TMT000000007971994	,000000011275533505		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/hjkUPHF1q7o-xeMjnw98ow.png	,1	,1	
TMT000000007971986	,000000011275531121		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/RblbfW9x9VUNobZmEk5W6g.png	,1	,1	
TMT000000007971993	,000000011275533341		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/JDhKATjo-22ihBdoWEnM1Q.png	,1	,1	
TMT000000007972000	,000000011275535814		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/9JOl7qY2U0wHyutDILyd4A.png	,1	,1	
TMT000000007971984	,000000011275529792		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/vFSERYXF8v_9ZtufBNE74g.png	,1	,1	
TMT000000007971980	,000000011275529329		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/LDYou1UE16wUXkHdAdCWwg.png	,1	,1	
TMT000000007971977	,000000011275528922		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/79iZcEhKq4c9BBnBWhFfCg.png	,1	,1	
TMT000000007971982	,000000011275529452		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/RsuKJ3BGqqa6eYcSLxQ4tQ.png	,1	,1	
TMT000000007971800	,000000011275528887		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/eEQPYxmvuWWtCM95sj9Lrg.png	,1	,1	
TMT000000007971796	,000000011275526813		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/5K-OVuLGluVUerNweGztLg.png	,1	,1	
TMT000000007971789	,000000011275525913		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/GiiMpZQ9H6gMDXgkbLCDKQ.png	,1	,1	
TMT000000007971794	,000000011275526414		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/qZewj714fgyF2iToRVWTtg.png	,1	,1	
TMT000000007971787	,000000011275525655		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/RNlP4yMZmDfN8ZbpGrrWZg.png	,1	,1	
TMT000000007971782	,000000011275524285		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/XLZ7VBSmK8SClF6j65jdDQ.png	,1	,1	
TMT000000007971792	,000000011275526221		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/dHcGBDTlM6NuQ4vqBtZxkg.png	,1	,1	
TMT000000007971785	,000000011275525430		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/3XOgFPgPgoVUUwO-PS5COQ.png	,1	,1	
TMT000000007971307	,000000011275501476		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/4bsodIqGrk69g1h9dmUTSA.png	,1	,1	
TMT000000007971002	,000000011272015735		,0010187569	,https://image.suning.com/uimg/sop/transparent/122836643326129235565209.png	,1	,1	
TMT000000007970589	,000000011275459372		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/IaJklTCaFmVOe_uPWa0Idg.png	,1	,1	
TMT000000007970591	,000000011275459673		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/vhwlh8K6LaiBZjyftk1_Kg.png	,1	,1	
TMT000000007970595	,000000011275462013		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/W7PIO8xNcZzbeZKBi5aHyQ.png	,1	,1	
TMT000000007970581	,000000011275458354		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/OvfScmHeYbdDKSHF8_NhCA.png	,1	,1	
TMT000000007970577	,000000011275455917		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/_Mma7HeK-u-KGyPIzNiiBQ.png	,1	,1	
TMT000000007970575	,000000011275455747		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/8rXKEoZvxVAq70gT8fHGcQ.png	,1	,1	
TMT000000007970573	,000000011275455574		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Six7fC104esbsrjPk8EX5w.png	,1	,1	
TMT000000007970585	,000000011275458826		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/pTR7yX50R6huXNN-fLM4xg.png	,1	,1	
TMT000000007970583	,000000011275458627		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/O1noQoYHHFRoSMbv5DVhrw.png	,1	,1	
TMT000000007970572	,000000011275455462		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/oe6FwACuW_EuQp5vdNb1Nw.png	,1	,1	
TMT000000007970587	,000000011275459091		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Jbu-yu9FEnNoK4D1_e1TIg.png	,1	,1	
TMT000000007970580	,000000011275457579		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/ysS1oAC_dYnyF6ZUcvbprw.png	,1	,1	
TMT000000007970364	,000000011275452148		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/ACeQxdilCrvbwBlvk9ETPQ.png	,1	,1	
TMT000000007970357	,000000011275450271		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/sl1VrmXjA3kwqT4hzvqACw.png	,1	,1	
TMT000000007970356	,000000011275449852		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/mVaAJDa0NmYE276ypHYsag.png	,1	,1	
TMT000000007970360	,000000011275451098		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/1Pa5nxxOihEaCC9B9v8cXA.png	,1	,1	
TMT000000007970362	,000000011275451460		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/SShDnj4NHmDBOCIx691c-A.png	,1	,1	
TMT000000007970366	,000000011275453395		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/GkJS3-_-0a5hPeI9uSwUMQ.png	,1	,1	
TMT000000007970358	,000000011275450689		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/TE4hhigLnyDVIH8FihkgYw.png	,1	,1	
